Country Name,Year,Country Code,"Incidence of malaria (per 1,000 population at risk)",Malaria cases reported,Use of insecticide-treated bed nets (% of under-5 population),Children with fever receiving antimalarial drugs (% of children under age 5 with fever),Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),People using safely managed drinking water services (% of population),"People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)",People using safely managed sanitation services (% of population),"People using safely managed sanitation services, rural (% of rural population)","People using safely managed sanitation services, urban  (% of urban population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),People using at least basic drinking water services (% of population),"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)",People using at least basic sanitation services (% of population),"People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban  (% of urban population)",latitude,longitude,geometry
Algeria,2017,DZA,0,0,,,,,,,17.69,20.79,16.48,27.95,-0.05,72.05,2.87,93.56,88.69,95.44,87.59,82.21,89.67,28.033886,1.659626,POINT (28.033886 1.659626)
Angola,2017,AGO,228.91,3874892,,,,,,,,,,35.16,1.38,64.84,4.39,55.84,27.44,71.24,49.88,23.23,64.33,-11.202692,17.873887,POINT (-11.202692 17.873887)
Benin,2017,BEN,399.56,1774022,,,,,,,,,,53.23,1.74,46.77,3.91,66.41,58.22,75.75,16.45,7.62,26.51,9.30769,2.315834,POINT (9.307689999999999 2.315834)
Botswana,2017,BWA,2.05,1900,,,,,,83.22,,,,31.3,-0.35,68.7,3.19,90.34,75.53,97.09,77.27,50.6,89.42,-22.328474,24.684866,POINT (-22.328474 24.684866)
Burkina Faso,2017,BFA,399.94,10255415,,,,,,,,,,71.26,2.04,28.74,5.03,47.89,34.99,79.86,19.4,11.34,39.38,12.238333,-1.561593,POINT (12.238333 -1.561593)
Burundi,2017,BDI,250.27,8453810,39.9,47,12.9,,,,,,,87.29,2.82,12.71,5.72,60.83,56.62,89.77,45.82,46.42,41.7,-3.373056,29.918886,POINT (-3.373056 29.918886)
Cabo Verde,2017,CPV,3.03,423,,,,,,,,,,34.74,-0.17,65.26,1.92,87.08,75.78,93.1,73.85,62.35,79.98,16.002082,-24.013197,POINT (16.002082 -24.013197)
Cameroon,2017,CMR,262.23,1317371,,,,,,,,,,44.22,1.29,55.78,3.72,60.38,39.01,77.33,39.08,17.8,55.95,7.369722,12.354722,POINT (7.369722 12.354722)
Central African Republic,2017,CAF,347.33,383309,,,,,,,,,,59.02,0.67,40.98,2.16,,,,,,,6.611111,20.939444,POINT (6.611111 20.939444)
Chad,2017,TCD,172.3,1962372,,,,,,,,,,77.14,2.84,22.86,3.87,38.7,29.47,69.85,8.34,1.89,30.12,15.454166,18.732207,POINT (15.454166 18.732207)
